#TYPE Selected.System.String
"Datastore","EUI"
"BKUP-Datastore927","eui.00173800509d005b"
"Datastore008","eui.0017380015e3004d"
"Datastore0901","eui.001738004e6f0038"
"Datastore0902","eui.001738004e6f0039"
"Datastore0903","eui.001738004e6f003a"
"Datastore0904","eui.001738004e6f003b"
"Datastore0905","eui.001738004e6f003c"
"Datastore0906","eui.001738004e6f0037"
"Datastore0908","eui.001738004e6f0041"
"Datastore0909","eui.001738004e6f007d"
"Datastore0910","eui.001738004e6f007e"
"Datastore0911","eui.001738004e6f007f"
"Datastore0912","eui.001738004e6f0080"
"Datastore0913","eui.001738004e6f0081"
"datastore1","eui.00173800277c0069"
"Datastore101","eui.0017380010bd0007"
"Datastore102","eui.0017380010bd0008"
"Datastore103","eui.0017380010bd0009"
"Datastore105","eui.0017380010bd000b"
"Datastore106","eui.0017380010bd0013"
"Datastore108","eui.0017380010bd0015"
"Datastore109","eui.0017380010bd0016"
"Datastore110","eui.0017380010bd0017"
"Datastore111","eui.0017380010bd0018"
"Datastore112","eui.0017380010bd0019"
"Datastore113","eui.0017380010bd001a"
"Datastore114","eui.0017380010bd001b"
"Datastore115","eui.0017380010bd001c"
"Datastore117","eui.0017380010bd0023"
"Datastore118","eui.0017380010bd0024"
"Datastore119","eui.0017380010bd0025"
"Datastore12","eui.001738000f210061"
"Datastore120","eui.0017380010bd0026"
"Datastore121","eui.0017380010bd0027"
"Datastore123","eui.0017380010bd0029"
"Datastore124","eui.0017380010bd002a"
"Datastore125","eui.0017380010bd002b"
"Datastore126","eui.0017380010bd002c"
"Datastore127","eui.0017380010bd002d"
"Datastore128","eui.0017380010bd002e"
"Datastore129","eui.0017380010bd002f"
"Datastore130","eui.0017380010bd0030"
"Datastore131","eui.0017380012d6003f"
"Datastore132","eui.0017380015e3002b"
"Datastore133","eui.0017380015e3002c"
"Datastore134","eui.0017380015e30041"
"Datastore135","eui.001738000f210092"
"Datastore136","eui.0017380015e3005a"
"Datastore137","eui.001738004e6f005e"
"Datastore138","eui.001738004e6f005f"
"Datastore139","eui.001738004e6f0089"
"Datastore140","eui.001738004e6f0092"
"Datastore141","eui.001738004e6f0094"
"Datastore142","eui.001738000f21009b"
"Datastore143","eui.001738000f21009c"
"Datastore144","eui.001738004e6f0095"
"Datastore145","eui.001738004e6f0096"
"Datastore146","eui.001738004e6f0097"
"Datastore147","eui.00173800509d000a"
